Fecha;TRAMO HORARIO;Nm Tot Victimas;DISTRITO;Lugar;Numero;Tipo Accidente;Tipo Vehiculo
02/03/2018 0:00;DE 16:00 A 16:59;1;CARABANCHEL                   ;AVENIDA DE OPORTO - CALLE DE FRANCISCO DE ICAZA                                                     ;;COLISIÓN DOBLE                          ;BICICLETA                               
02/03/2018 0:00;DE 18:00 A 18:59;1;RETIRO                        ;PLAZA DEL DOCTOR LAGUNA                                                                         ;13;COLISIÓN DOBLE                          ;BICICLETA                               
03/03/2018 0:00;DE 6:00 A 6:59;1;CENTRO                        ;CALLE DE ALCALA                                                                                 ;45;COLISIÓN DOBLE                          ;BICICLETA                               
09/03/2018 0:00;DE 13:00 A 13:59;1;SALAMANCA                     ;CALLE DE ALCALA                                                                                 ;198;COLISIÓN DOBLE                          ;BICICLETA                               
09/03/2018 0:00;DE 22:00 A 22:59;1;SALAMANCA                     ;CALLE DE ALCALA - PLAZA DE MANUEL BECERRA                                                           ;;COLISIÓN DOBLE                          ;BICICLETA                               
10/03/2018 0:00;DE 21:00 A 21:59;1;SALAMANCA                     ;PLAZA DE LA INDEPENDENCIA                                                                       ;4;CAÍDA BICICLETA                         ;BICICLETA                               
11/03/2018 0:00;DE 14:00 A 14:59;1;CENTRO                        ;PLAZA DEL EMPERADOR CARLOS V                                                                    ;8;ATROPELLO                               ;BICICLETA                               
11/03/2018 0:00;DE 18:00 A 18:59;1;CENTRO                        ;CALLE DE CARRETAS                                                                               ;11;CAÍDA BICICLETA                         ;BICICLETA                               
11/03/2018 0:00;DE 18:00 A 18:59;1;CENTRO                        ;PLAZA DE TIRSO DE MOLINA                                                                        ;10;CAÍDA BICICLETA                         ;BICICLETA                               
11/03/2018 0:00;DE 19:00 A 19:59;1;TETUAN                        ;CALLE DE JUAN PANTOJA - CALLE DEL TOPETE                                                            ;;COLISIÓN DOBLE                          ;BICICLETA                               
12/03/2018 0:00;DE 20:00 A 20:59;1;ARGANZUELA                    ;GLORIETA DE LAS PIRAMIDES - PASEO  IMPERIAL                                                         ;          ;COLISIÓN DOBLE                          ;BICICLETA                               
13/03/2018 0:00;DE 12:00 A 12:59;1;CHAMARTIN                     ;CALLE DE GUSTAVO FERNANDEZ BALBUENA                                                             ;11;ATROPELLO                               ;BICICLETA                               
13/03/2018 0:00;DE 15:00 A 15:59;1;PUENTE DE VALLECAS            ;CAMINO DE VALDERRIBAS                                                                           ;113;COLISIÓN DOBLE                          ;BICICLETA                               
14/03/2018 0:00;DE 13:00 A 13:59;1;CENTRO                        ;PLAZA DE LA PUERTA DEL SOL                                                                      ;4;CAÍDA BICICLETA                         ;BICICLETA                               
14/03/2018 0:00;DE 19:00 A 19:59;1;CENTRO                        ;CALLE DE CARRANZA                                                                               ;25;CAÍDA BICICLETA                         ;BICICLETA                               
15/03/2018 0:00;DE 22:00 A 22:59;1;RETIRO                        ;CALLE DE CLAUDIO MOYANO                                                                         ;2;CAÍDA BICICLETA                         ;BICICLETA                               
16/03/2018 0:00;DE 11:00 A 11:59;1;USERA                         ;CAMINO DE PERALES                                                                               ;20;CAÍDA BICICLETA                         ;BICICLETA                               
16/03/2018 0:00;DE 14:00 A 14:59;1;RETIRO                        ;PASEO DEL FERNAN NUÑEZ                                                                              ;;CAÍDA BICICLETA                         ;BICICLETA                               
16/03/2018 0:00;DE 15:00 A 15:59;1;TETUAN                        ;PASEO DE LA DIRECCION                                                                           ;285;CAÍDA BICICLETA                         ;BICICLETA                               
20/03/2018 0:00;DE 11:00 A 11:59;1;SALAMANCA                     ;CALLE DE SERRANO                                                                                ;91;COLISIÓN DOBLE                          ;BICICLETA                               
21/03/2018 0:00;DE 11:00 A 11:59;1;MORATALAZ                     ;CALLE DE FOBOS                                                                                  ;17;COLISIÓN DOBLE                          ;BICICLETA                               
21/03/2018 0:00;DE 12:00 A 12:59;1;FUENCARRAL-EL PARDO           ;CARRETERA DE PARDO A FUENCARRAL KM.                                                                 ;3500;CAÍDA BICICLETA                         ;BICICLETA                               
23/03/2018 0:00;DE 10:00 A 10:59;1;LATINA                        ;CALLE DE LAS FLAUTAS - CALLE DE LOS CLARINETES                                                      ;;CAÍDA BICICLETA                         ;BICICLETA                               
25/03/2018 0:00;DE 13:00 A 13:59;1;PUENTE DE VALLECAS            ;AVENIDA DE BUENOS AIRES - CALLE DE MOGAMBO                                                          ;;CAÍDA BICICLETA                         ;BICICLETA                               
26/03/2018 0:00;DE 22:00 A 22:59;1;CARABANCHEL                   ;AVENIDA DE LOS POBLADOS - CALLE DE VENTURA DIAZ BERNARDO                                            ;;CAÍDA BICICLETA                         ;BICICLETA                               
27/03/2018 0:00;DE 16:00 A 16:59;2;MONCLOA-ARAVACA               ;PLAZA DE LAS MORERAS                                                                            ;1;COLISIÓN DOBLE                          ;BICICLETA                               
27/03/2018 0:00;DE 17:00 A 17:59;2;LATINA                        ;CALLE DE CEBREROS                                                                               ;9;COLISIÓN DOBLE                          ;BICICLETA                               
27/03/2018 0:00;DE 18:00 A 18:59;1;SAN BLAS                      ;CALLE DE ESTOCOLMO - CARRIL  ANILLO VERDE CICLISTA                                                  ;;CAÍDA BICICLETA                         ;BICICLETA                               
28/03/2018 0:00;DE 13:00 A 13:59;2;ARGANZUELA                    ;PARQUE DE MADRID RIO (RIBERA ESTE) KM.                                                              ;6000;COLISIÓN DOBLE                          ;BICICLETA                               
29/03/2018 0:00;DE 11:00 A 11:59;1;ARGANZUELA                    ;CALLE DE LA BATALLA DEL SALADO - CALLE DEL GENERAL PALANCA                                          ;;COLISIÓN DOBLE                          ;BICICLETA                               
31/03/2018 0:00;DE 13:00 A 13:59;1;RETIRO                        ;AVENIDA DE LA CIUDAD DE BARCELONA                                                               ;108;CAÍDA BICICLETA                         ;BICICLETA                               
